City,Country,City-Country_EN,City_ES,City-Country_ES,Other,Other_ES
"Lafayette, LA",United States,"Lafayette, LA, United States","Lafayette, LA","Lafayette, LA, Estados Unidos",Lafayette,Lafayette
Amritsar,India,"Amritsar, India",Amritsar,"Amritsar, India",Amritsar,Amritsar
Karlsruhe,Germany,"Karlsruhe, Germany",Karlsruhe,"Karlsruhe, Alemania",Karlsruhe,Karlsruhe
Vadodara,India,"Vadodara, India",Vadodara,"Vadodara, India",Vadodara,Vadodara
Iasi,Romania,"Iasi, Romania",Iasi,"Iasi, Rumania",Iasi,Iasi
"Palma, Mallorca",Spain,"Palma, Mallorca, Spain","Palma, Mallorca","Palma, Mallorca, España",Palma,Palma
"Visalia, CA",United States,"Visalia, CA, United States","Visalia, CA","Visalia, CA, Estados Unidos",Visalia,Visalia
Antigua,Guatemala,"Antigua, Guatemala",Antigua,"Antigua, Guatemala",Antigua,Antigua
"Lodi, CA",United States,"Lodi, CA, United States","Lodi, CA","Lodi, CA, Estados Unidos",Lodi,Lodi
"Victoria, TX",United States,"Victoria, TX, United States","Victoria, TX","Victoria, TX, Estados Unidos",Victoria,Victoria
Gold Coast,Australia,"Gold Coast, Australia",Costa Dorada,"Gold Coast, Australia",Gold Coast,Costa Dorada
"Pharr, TX",United States,"Pharr, TX, United States","Pharr, TX","Pharr, TX, Estados Unidos",Pharr,Pharr
Novosibirsk,Russia,"Novosibirsk, Russia",Novosibirsk,"Novosibirsk, Rusia",Novosibirsk,Novosibirsk
Lille,France,"Lille, France",Lille,"Lille, Francia",Lille,Lille
"Honolulu, Hawaii",United States,"Honolulu, Hawaii, United States","Honolulu, Hawaii","Honolulu, Hawaii, Estados Unidos",Honolulu,Honolulu
Torreon,Mexico,"Torreon, Mexico",Torreón,"Torreón, México",Torreon,Torreón
"Medan, Sumatra",Indonesia,"Medan, Sumatra, Indonesia","Medan, Sumatra","Medan, Sumatra, Indonesia",Medan,Medan
Ipoh,Malaysia,"Ipoh, Malaysia",Ipoh,"Ipoh, Malasia",Ipoh,Ipoh
"Washington, DC",United States,"Washington, DC, United States",Washington DC,"Washington, DC, Estados Unidos",Washington,Washington DC
"Bradenton, FL",United States,"Bradenton, FL, United States","Bradenton, FL","Bradenton, FL, Estados Unidos",Bradenton,Bradenton
Nizhny,Russia,"Nizhny, Russia",Nizhny,"Nizhny, Rusia",Nizhny,Nizhny
Vitória,Brazil,"Vitória, Brazil",Vitória,"Vitória, Brasil",Vitória,Vitória
Leipzig,Germany,"Leipzig, Germany",Leipzig,Leipzig - Alemania,Leipzig,Leipzig
"Coeur d'Alene, ID",United States,"Coeur d'Alene, ID, United States","Coeur d'Alene, ID","Coeur d'Alene, ID, Estados Unidos",Coeur d'Alene,Coeur d'Alene
Rzeszow,Poland,"Rzeszow, Poland",Rzeszow,"Rzeszow, Polonia",Rzeszow,Rzeszow
"McAllen, TX",United States,"McAllen, TX, United States","McAllen, TX","McAllen, TX, Estados Unidos",McAllen,McAllen
Oranjestad,Aruba,"Oranjestad, Aruba",Oranjestad,"Oranjestad, Aruba",Oranjestad,Oranjestad
"Olympia, WA",United States,"Olympia, WA, United States","Olympia, WA","Olympia, WA, Estados Unidos",Olympia,Olympia
Raipur,India,"Raipur, India",Raipur,"Raipur, India",Raipur,Raipur
Trento,Italy,"Trento, Italy",Trento,"Trento, Italia",Trento,Trento
"Winston, NC",United States,"Winston, NC, United States","Winston, Carolina del Norte","Winston, NC, Estados Unidos",Winston,Winston
"Mission, TX",United States,"Mission, TX, United States","Misión, TX","Mission, TX, Estados Unidos",Mission,Mission
Malacca,Malaysia,"Malacca, Malaysia",Malaca,"Malaca, Malasia",Malacca,Malaca
Nijmegen,Netherlands,"Nijmegen, Netherlands",Nijmegen,"Nijmegen, Holanda",Nijmegen,Nijmegen
Manama,Bahrain,"Manama, Bahrain",Manama,"Manama, Bahrein",Manama,Manama
"Faro, Algarve",Portugal,"Faro, Algarve, Portugal","Faro, Algarve","Faro, Algarve, Portugal",Faro,Faro
Fuzhou,China,"Fuzhou, China",Fuzhou,"Fuzhou, China",Fuzhou,Fuzhou
Palermo,Italy,"Palermo, Italy",Palermo,"Palermo, Italia",Palermo,Palermo
Khartoum,Sudan,"Khartoum, Sudan",Jartum,"Jartum, Sudán",Khartoum,Jartum
"Rapid City, SD",United States,"Rapid City, SD, United States","Rapid City, SD","Rapid City, SD, Estados Unidos",Rapid City,Rapid City
Galway,Ireland,"Galway, Ireland",Galway,"Galway, Irlanda",Galway,Galway
"Fresno, CA",United States,"Fresno, CA, United States","Fresno, CA","Fresno, CA, Estados Unidos",Fresno,Fresno
"Beaverton, OR",United States,"Beaverton, OR, United States","Beaverton, OR","Beaverton, OR, Estados Unidos",Beaverton,Beaverton
Rabat,Morocco,"Rabat, Morocco",Rabat,"Rabat, Marruecos",Rabat,Rabat
"Corvallis, OR",United States,"Corvallis, OR, United States","Corvallis, OR","Corvallis, OR, Estados Unidos",Corvallis,Corvallis
San Pedro de Atacama,Chile,"San Pedro de Atacama, Chile",San Pedro de Atacama,"San Pedro de Atacama, Chile",San Pedro de Atacama,San Pedro de Atacama
Liberia,Costa Rica,"Liberia, Costa Rica",Liberia,"Liberia, Costa Rica",Liberia,Liberia
Luton,United Kingdom,"Luton, United Kingdom",Luton,"Luton, Reino Unido",Luton,Luton
"Sioux City, IA",United States,"Sioux City, IA, United States","Sioux City, IA","Sioux City, IA, Estados Unidos",Sioux City,Sioux City
Tampere,Finland,"Tampere, Finland",Tampere,"Tampere, Finlandia",Tampere,Tampere
Lubumbashi,DR Congo,"Lubumbashi, DR Congo",Lubumbashi,"Lubumbashi, República Democrática del Congo",Lubumbashi,Lubumbashi
"St. Joseph, MO",United States,"St. Joseph, MO, United States","St. Joseph, MO","S t. Joseph, MO, Estados Unidos ",St. Joseph,St. Joseph
Constantine,Algeria,"Constantine, Algeria",Constantino,"Constantine, Argelia",Constantine,Constantino
Malaga,Spain,"Malaga, Spain",Málaga,"Málaga, España",Malaga,Málaga
Izhevsk,Russia,"Izhevsk, Russia",Izhevsk,"Izhevsk, Rusia",Izhevsk,Izhevsk
"Tuscaloosa, AL",United States,"Tuscaloosa, AL, United States","Tuscaloosa, AL","Tuscaloosa, AL, Estados Unidos",Tuscaloosa,Tuscaloosa
Campos dos Goytacazes,Brazil,"Campos dos Goytacazes, Brazil",Campos dos Goytacazes,"Campos dos Goytacazes, Brasil",Campos dos Goytacazes,Campos dos Goytacazes
Sao Luis,Brazil,"Sao Luis, Brazil",Sao Luis,"Sao Luis, Brasil",Sao Luis,Sao Luis
"Bellingham, WA",United States,"Bellingham, WA, United States","Bellingham, WA","Bellingham, WA, Estados Unidos",Bellingham,Bellingham
Treviso,Italy,"Treviso, Italy",Treviso,"Treviso, Italia",Treviso,Treviso
Tamarindo,Costa Rica,"Tamarindo, Costa Rica",Tamarindo,"Tamarindo, Costa Rica",Tamarindo,Tamarindo
Pai,Thailand,"Pai, Thailand",Pai,"Pai, Tailandia",Pai,Pai
Dongguan,China,"Dongguan, China",Dongguan,"Dongguan, China",Dongguan,Dongguan
"Decatur, IL",United States,"Decatur, IL, United States","Decatur, IL","Decatur, IL, Estados Unidos",Decatur,Decatur
"Hemet, CA",United States,"Hemet, CA, United States","Hemet, CA","Hemet, CA, Estados Unidos",Hemet,Hemet
Brasilia,Brazil,"Brasilia, Brazil",Brasilia,"Brasilia, Brasil",Brasilia,Brasilia
Oulu,Finland,"Oulu, Finland",Oulu,"Oulu, Finlandia",Oulu,Oulu
"Chico, CA",United States,"Chico, CA, United States","Chico, CA","Chico, CA, Estados Unidos",Chico,Chico
Changzhou,China,"Changzhou, China",Changzhou,"Changzhou, China",Changzhou,Changzhou
Sayulita,Mexico,"Sayulita, Mexico",Sayulita,"Sayulita, México",Sayulita,Sayulita
Exeter,United Kingdom,"Exeter, United Kingdom",Exeter,"Exeter, Reino Unido",Exeter,Exeter
Wanaka,New Zealand,"Wanaka, New Zealand",Wanaka,"Wanaka, Nueva Zelanda",Wanaka,Wanaka
"Manteca, CA",United States,"Manteca, CA, United States","Manteca, CA","Manteca, CA, Estados Unidos",Manteca,Manteca
Sorocaba,Brazil,"Sorocaba, Brazil",Sorocaba,"Sorocaba, Brasil",Sorocaba,Sorocaba
"Casper, WY",United States,"Casper, WY, United States","Casper, WY","Casper, WY, Estados Unidos",Casper,Casper
Huai'an,China,"Huai'an, China",Huai'an,"Huai'an, China",Huai'an,Huai'an
Sharjah,United Arab Emirates,"Sharjah, United Arab Emirates",Sharjah,"Sharjah, Emiratos Árabes Unidos",Sharjah,Sharjah
Lublin,Poland,"Lublin, Poland",Lublin,"Lublin, Polonia",Lublin,Lublin
"Pensacola, FL",United States,"Pensacola, FL, United States","Pensacola, FL","Pensacola, FL, Estados Unidos",Pensacola,Pensacola
Belfast,United Kingdom,"Belfast, United Kingdom",Belfast,"Belfast, Reino Unido",Belfast,Belfast
Quebec City,Canada,"Quebec City, Canada",La ciudad de Quebec,"Ciudad de Quebec, Canadá",Quebec City,La ciudad de Quebec
"Verdi, NV",United States,"Verdi, NV, United States","Verdi, NV","Verdi, NV, Estados Unidos",Verdi,Verdi
"Ciutadella, Menorca",Spain,"Ciutadella, Menorca, Spain","Ciutadella, Menorca","Ciutadella, Menorca, España",Ciutadella,Ciutadella
Byron Bay,Australia,"Byron Bay, Australia",Byron Bay,"Byron Bay, Australia",Byron Bay,Byron Bay
Chennai,India,"Chennai, India",Chennai,"Chennai, India",Chennai,Chennai
"Taos, NM",United States,"Taos, NM, United States","Taos, Nuevo México","Taos, NM, Estados Unidos",Taos,Taos
Ulyanovsk,Russia,"Ulyanovsk, Russia",Ulyanovsk,"Ulyanovsk, Rusia",Ulyanovsk,Ulyanovsk
"Turlock, CA",United States,"Turlock, CA, United States","Turlock, CA","Turlock, CA, Estados Unidos",Turlock,Turlock
Canberra,Australia,"Canberra, Australia",Canberra,"Canberra, Australia",Canberra,Canberra
Huizhou,China,"Huizhou, China",Huizhou,"Huizhou, China",Huizhou,Huizhou
"Cincinnati, OH",United States,"Cincinnati, OH, United States","Cincinnati, OH","Cincinnati, OH, Estados Unidos",Cincinnati,Cincinnati
Liuzhou,China,"Liuzhou, China",Liuzhou,"Liuzhou, China",Liuzhou,Liuzhou
Utrecht,Netherlands,"Utrecht, Netherlands",Utrecht,"Utrecht, Países Bajos",Utrecht,Utrecht
Kassel,Germany,"Kassel, Germany",Kassel,"Kassel, Alemania",Kassel,Kassel
Visakhapatnam,India,"Visakhapatnam, India",Visakhapatnam,"Visakhapatnam, India",Visakhapatnam,Visakhapatnam
Cixi,China,"Cixi, China",Cixi,"Cixi, China",Cixi,Cixi
"Pasco, WA",United States,"Pasco, WA, United States","Pasco, WA","Pasco, WA, Estados Unidos",Pasco,Pasco
Daejeon,South Korea,"Daejeon, South Korea",Daejeon,"Daejeon, Corea del Sur",Daejeon,Daejeon
Pamplona,Spain,"Pamplona, Spain",Pamplona,"Pamplona, ​​España",Pamplona,Pamplona
"Huntsville, AL",United States,"Huntsville, AL, United States","Huntsville, AL","Huntsville, AL, Estados Unidos",Huntsville,Huntsville
Barranquilla,Colombia,"Barranquilla, Colombia",Barranquilla,"Barranquilla, Colombia",Barranquilla,Barranquilla
Kunming,China,"Kunming, China",Kunming,"Kunming, China",Kunming,Kunming
Brazzaville,Congo,"Brazzaville, Congo",Brazzaville,"Brazzaville, Congo",Brazzaville,Brazzaville
"Henderson, NV",United States,"Henderson, NV, United States","Henderson, NV","Henderson, NV, Estados Unidos",Henderson,Henderson
"Schenectady, NY",United States,"Schenectady, NY, United States","Schenectady, NY","Schenectady, NY, Estados Unidos",Schenectady,Schenectady
Jyvaskyla,Finland,"Jyvaskyla, Finland",Jyvaskyla,"Jyvaskyla, Finlandia",Jyvaskyla,Jyvaskyla
Limassol,Cyprus,"Limassol, Cyprus",Limassol,"Limassol, Chipre",Limassol,Limassol
Indore,India,"Indore, India",Indore,"Indore, India",Indore,Indore
Coimbatore,India,"Coimbatore, India",Coimbatore,"Coimbatore, India",Coimbatore,Coimbatore
Kelowna,Canada,"Kelowna, Canada",Kelowna,"Kelowna, Canadá",Kelowna,Kelowna
Vang Vieng,Laos,"Vang Vieng, Laos",Vang Vieng,"Vang Vieng, Laos",Vang Vieng,Vang Vieng
"Worcester, MA",United States,"Worcester, MA, United States","Worcester, MA","Worcester, MA, Estados Unidos",Worcester,Worcester
"Bend, OR",United States,"Bend, OR, United States","Doblar, OR","Bend, OR, Estados Unidos",Bend,Bend
Johor Bahru,Malaysia,"Johor Bahru, Malaysia",Johor Bahru,"Johor Bahru, Malasia",Johor Bahru,Johor Bahru
Dubai,United Arab Emirates,"Dubai, United Arab Emirates",Dubai,"Dubai, Emiratos Arabes Unidos",Dubai,Dubai
Porto Alegre,Brazil,"Porto Alegre, Brazil",Puerto alegre,"Porto Alegre, Brasil",Porto Alegre,Puerto alegre
"High Point, NC",United States,"High Point, NC, United States","High Point, Carolina del Norte","High Point, NC, Estados Unidos",High Point,High Point
Bielefeld,Germany,"Bielefeld, Germany",Bielefeld,"Bielefeld, Alemania",Bielefeld,Bielefeld
"Santa Fe, NM",United States,"Santa Fe, NM, United States","Santa Fe, NM","Santa Fe, NM, Estados Unidos",Santa Fe,Santa Fe
Valparaíso,Chile,"Valparaíso, Chile",Valparaíso,"Valparaíso, Chile",Valparaíso,Valparaíso
"Bridgeton, MO",United States,"Bridgeton, MO, United States","Bridgeton, MO","Bridgeton, MO, Estados Unidos",Bridgeton,Bridgeton
Antofagasta,Chile,"Antofagasta, Chile",Antofagasta,"Antofagasta, Chile",Antofagasta,Antofagasta
"Utica, NY",United States,"Utica, NY, United States","Utica, NY","Utica, NY, Estados Unidos",Utica,Utica
"Naha, Okinawa",Japan,"Naha, Okinawa, Japan","Naha, Okinawa","Naha, Okinawa, Japón",Naha,Naha
Mendoza,Argentina,"Mendoza, Argentina",Mendoza,"Mendoza, Argentina",Mendoza,Mendoza
Dahab,Egypt,"Dahab, Egypt",Dahab,"Dahab, Egipto",Dahab,Dahab
Hohhot,China,"Hohhot, China",Hohhot,"Hohhot, China",Hohhot,Hohhot
Manaus,Brazil,"Manaus, Brazil",Manaos,"Manaos, Brasil",Manaus,Manaos
"Sarasota, FL",United States,"Sarasota, FL, United States","Sarasota, FL","Sarasota, FL, Estados Unidos",Sarasota,Sarasota
Brighton,United Kingdom,"Brighton, United Kingdom",Brighton,"Brighton, Reino Unido",Brighton,Brighton
Kaliningrad,Russia,"Kaliningrad, Russia",Kaliningrado,"Kaliningrado, Rusia",Kaliningrad,Kaliningrado
"Waukegan, IL",United States,"Waukegan, IL, United States","Waukegan, IL","Waukegan, IL, Estados Unidos",Waukegan,Waukegan
Shenzhen,China,"Shenzhen, China",Shenzhen,"Shenzhen, China",Shenzhen,Shenzhen
"Anderson, IN",United States,"Anderson, IN, United States","Anderson, IN","Anderson, IN, Estados Unidos",Anderson,Anderson
Bologna,Italy,"Bologna, Italy",Bolonia,"Bolonia, Italia",Bologna,Bolonia
Guelph,Canada,"Guelph, Canada",Guelph,"Guelph, Canadá",Guelph,Guelph
Trieste,Italy,"Trieste, Italy",Trieste,"Trieste, Italia",Trieste,Trieste
Kunshan,China,"Kunshan, China",Kunshan,"Kunshan, China",Kunshan,Kunshan
Durban,South Africa,"Durban, South Africa",Durban,"Durban, Sudáfrica",Durban,Durban
Itapema,Brazil,"Itapema, Brazil",Itapema,"Itapema, Brasil",Itapema,Itapema
Srinagar,India,"Srinagar, India",Srinagar,"Srinagar, India",Srinagar,Srinagar
"Janesville, WI",United States,"Janesville, WI, United States","Janesville, WI","Janesville, WI, Estados Unidos",Janesville,Janesville
Nantong,China,"Nantong, China",Nantong,"Nantong, China",Nantong,Nantong
Eindhoven,Netherlands,"Eindhoven, Netherlands",Eindhoven,"Eindhoven, Holanda",Eindhoven,Eindhoven
Huaibei,China,"Huaibei, China",Huaibei,"Huaibei, China",Huaibei,Huaibei
"La Crosse, WI",United States,"La Crosse, WI, United States","La Crosse, WI","La Crosse, WI, Estados Unidos",La Crosse,La Crosse
Douala,Cameroon,"Douala, Cameroon",Douala,"Douala, Camerún",Douala,Douala
Novocherkassk,Russia,"Novocherkassk, Russia",Novocherkassk,"Novocherkassk, Rusia",Novocherkassk,Novocherkassk
Changshu,China,"Changshu, China",Changshu,"Changshu, China",Changshu,Changshu
Puerto Viejo,Costa Rica,"Puerto Viejo, Costa Rica",Puerto Viejo,"Puerto Viejo, Costa Rica",Puerto Viejo,Puerto Viejo
"Idaho Falls, ID",United States,"Idaho Falls, ID, United States","Idaho Falls, ID","Idaho Falls, ID, Estados Unidos",Idaho Falls,Idaho Falls
"Pueblo, CO",United States,"Pueblo, CO, United States","Pueblo, CO","Pueblo, CO, Estados Unidos",Pueblo,Pueblo
"Salem, OR",United States,"Salem, OR, United States","Salem, OR","Salem, OR, Estados Unidos",Salem,Salem
Sochi,Russia,"Sochi, Russia",Sochi,"Sochi, Rusia",Sochi,Sochi
Algiers,Algeria,"Algiers, Algeria",Argel,"Argel, Argelia",Algiers,Argel
Taichung,Taiwan,"Taichung, Taiwan",Taichung,"Taichung, Taiwan",Taichung,Taichung
Dededo,Guam,"Dededo, Guam",Dededo,"Dededo, Guam",Dededo,Dededo
Port of Spain,Trinidad and Tobago,"Port of Spain, Trinidad and Tobago",Puerto de España,"Puerto España, Trinidad y Tobago",Port of Spain,Puerto de España
Campo Grande,Brazil,"Campo Grande, Brazil",Campo Grande,"Campo Grande, Brasil",Campo Grande,Campo Grande
Darmstadt,Germany,"Darmstadt, Germany",Darmstadt,"Darmstadt, Alemania",Darmstadt,Darmstadt
Chandigarh,India,"Chandigarh, India",Chandigarh,"Chandigarh, India",Chandigarh,Chandigarh
"Virginia Beach, VA",United States,"Virginia Beach, VA, United States","Virginia Beach, VA","Virginia Beach, VA, Estados Unidos",Virginia Beach,Virginia Beach
Ufa,Russia,"Ufa, Russia",Ufa,"Ufa, Rusia",Ufa,Ufa
"Riverside, CA",United States,"Riverside, CA, United States","Riverside, CA","Riverside, CA, Estados Unidos",Riverside,Riverside
Fukuoka,Japan,"Fukuoka, Japan",Fukuoka,"Fukuoka, Japón",Fukuoka,Fukuoka
Managua,Nicaragua,"Managua, Nicaragua",Managua,"Managua, Nicaragua",Managua,Managua
Ouagadougou,Burkina Faso,"Ouagadougou, Burkina Faso",Uagadugú,"Uagadugú, Burkina Faso",Ouagadougou,Uagadugú
Kumasi,Ghana,"Kumasi, Ghana",Kumasi,"Kumasi, Ghana",Kumasi,Kumasi
"Hesperia, CA",United States,"Hesperia, CA, United States","Hesperia, CA","Hesperia, CA, Estados Unidos",Hesperia,Hesperia
Lome,Togo,"Lome, Togo",Lomé,"Lomé, Togo",Lome,Lomé
Port Harcourt,Nigeria,"Port Harcourt, Nigeria",Port Harcourt,"Port Harcourt, Nigeria",Port Harcourt,Port Harcourt
Urumqi,China,"Urumqi, China",Urumqi,"Urumqi, China",Urumqi,Urumqi
Kaduna,Nigeria,"Kaduna, Nigeria",Kaduna,"Kaduna, Nigeria",Kaduna,Kaduna
"Scottsdale, AZ",United States,"Scottsdale, AZ, United States","Scottsdale, AZ","Scottsdale, AZ, Estados Unidos",Scottsdale,Scottsdale
San Pedro Sula,Honduras,"San Pedro Sula, Honduras",San Pedro Sula,"San Pedro Sula, Honduras",San Pedro Sula,San Pedro Sula
Rajkot,India,"Rajkot, India",Rajkot,"Rajkot, India",Rajkot,Rajkot
Xining,China,"Xining, China",Xining,"Xining, China",Xining,Xining
Yokohama,Japan,"Yokohama, Japan",Yokohama,"Yokohama, Japón",Yokohama,Yokohama
Wuxi,China,"Wuxi, China",Wuxi,"Wuxi, China",Wuxi,Wuxi
Baghdad,Iraq,"Baghdad, Iraq",Bagdad,"Bagdad, Irak",Baghdad,Bagdad
Libreville,Gabon,"Libreville, Gabon",Libreville,"Libreville, Gabón",Libreville,Libreville
Sana'a,Yemen,"Sana'a, Yemen",Sana'a,"Sana'a, Yemen",Sana'a,Sana'a
Bridgetown,Barbados,"Bridgetown, Barbados",Bridgetown,"Bridgetown, Barbados",Bridgetown,Bridgetown
Funafuti,Tuvalu,"Funafuti, Tuvalu",Funafuti,"Funafuti, Tuvalu",Funafuti,Funafuti
Nagasaki,Japan,"Nagasaki, Japan",Nagasaki,"Nagasaki, Japón",Nagasaki,Nagasaki
"Incline Village, NV",United States,"Incline Village, NV, United States","Incline Village, NV","Incline Village, NV, Estados Unidos",Incline Village,Incline Village
Banjul,Gambia,"Banjul, Gambia",Banjul,"Banjul, Gambia",Banjul,Banjul
Monaco,Monaco,"Monaco, Monaco",Mónaco,"Mónaco, Mónaco",Monaco,Mónaco
Avarua,Cook Islands,"Avarua, Cook Islands",Avarua,"Avarua, Islas Cook",Avarua,Avarua
Larnaca,Cyprus,"Larnaca, Cyprus",Larnaca,"Larnaca, Chipre",Larnaca,Larnaca
Dammam,Saudi Arabia,"Dammam, Saudi Arabia",Dammam,"Dammam, Arabia Saudita",Dammam,Dammam
"Kauai, Hawaii",United States,"Kauai, Hawaii, United States","Kauai, Hawái","Kauai, Hawaii, Estados Unidos",Kauai,Kauai
Honiara,Solomon Islands,"Honiara, Solomon Islands",Honiara,"Honiara, Islas Salomón",Honiara,Honiara
Shenyang,China,"Shenyang, China",Shenyang,"Shenyang, China",Shenyang,Shenyang
Portsmouth,United Kingdom,"Portsmouth, United Kingdom",Portsmouth,"Portsmouth, Reino Unido",Portsmouth,Portsmouth
Geneva,Switzerland,"Geneva, Switzerland",Ginebra,"Ginebra, Suiza",Geneva,Ginebra
Caracas,Venezuela,"Caracas, Venezuela",Caracas,"Caracas, Venezuela",Caracas,Caracas
Conakry,Guinea,"Conakry, Guinea",Conakry,"Conakry, Guinea",Conakry,Conakry
Caye Caulker,Belize,"Caye Caulker, Belize",Caye Caulker,"Caye Caulker, Belice",Caye Caulker,Caye Caulker
Dortmund,Germany,"Dortmund, Germany",Dortmund,"Dortmund, Alemania",Dortmund,Dortmund
Harbin,China,"Harbin, China",Harbin,"Harbin, China",Harbin,Harbin
Nuuk,Greenland,"Nuuk, Greenland",Nuuk,"Nuuk, Groenlandia",Nuuk,Nuuk
Belize City,Belize,"Belize City, Belize",Ciudad de Belice,"Ciudad de Belice, Belice",Belize City,Ciudad de Belice
Abu Dhabi,United Arab Emirates,"Abu Dhabi, United Arab Emirates",Abu Dhabi,"Abu Dhabi, Emiratos Arabes Unidos",Abu Dhabi,Abu Dhabi
"Temecula, CA",United States,"Temecula, CA, United States","Temecula, CA","Temecula, CA, Estados Unidos",Temecula,Temecula
Gori,Georgia,"Gori, Georgia",Gori,"Gori, Georgia",Gori,Gori
Tsushima Island,Japan,"Tsushima Island, Japan",Isla Tsushima,"Isla Tsushima, Japón",Tsushima Island,Isla Tsushima
"Joliet, IL",United States,"Joliet, IL, United States","Joliet, IL","Joliet, IL, Estados Unidos",Joliet,Joliet
Saratov,Russia,"Saratov, Russia",Saratov,"Saratov, Rusia",Saratov,Saratov
Jundiaí,Brazil,"Jundiaí, Brazil",Jundiaí,"Jundiaí, Brasil",Jundiaí,Jundiaí
Cheltenham,United Kingdom,"Cheltenham, United Kingdom",Cheltenham,"Cheltenham, Reino Unido",Cheltenham,Cheltenham
Nanjing,China,"Nanjing, China",Nanjing,"Nanjing, China",Nanjing,Nanjing
Aalborg,Denmark,"Aalborg, Denmark",Aalborg,"Aalborg, Dinamarca",Aalborg,Aalborg
Coventry,United Kingdom,"Coventry, United Kingdom",Coventry,"Coventry, Reino Unido",Coventry,Coventry
Oxford,United Kingdom,"Oxford, United Kingdom",Oxford,"Oxford, Reino Unido",Oxford,Oxford
"Anchorage, AK",United States,"Anchorage, AK, United States","Anchorage, AK","Anchorage, AK, Estados Unidos",Anchorage,Anchorage
Hong Kong,Hong Kong,"Hong Kong, Hong Kong",Hong Kong,"Hong Kong, Hong Kong",Hong Kong,Hong Kong
Bergen,Norway,"Bergen, Norway",Bergen,"Bergen, Noruega",Bergen,Bergen
Maseru,Lesotho,"Maseru, Lesotho",Maseru,"Maseru, Lesotho",Maseru,Maseru
Leuven,Belgium,"Leuven, Belgium",Lovaina,"Lovaina, Bélgica",Leuven,Lovaina
Vladivostok,Russia,"Vladivostok, Russia",Vladivostok,"Vladivostok, Rusia",Vladivostok,Vladivostok
Salzburg,Austria,"Salzburg, Austria",Salsburgo,"Salzburgo, Austria",Salzburg,Salsburgo
Sinuiju,North Korea,"Sinuiju, North Korea",Sinuiju,"Sinuiju, Corea del Norte",Sinuiju,Sinuiju
Kobe,Japan,"Kobe, Japan",Kobe,"Kobe, Japón",Kobe,Kobe
Hama,Syria,"Hama, Syria",Hama,"Hama, Siria",Hama,Hama
Xiangtan,China,"Xiangtan, China",Xiangtan,"Xiangtan, China",Xiangtan,Xiangtan
Naypyidaw,Myanmar,"Naypyidaw, Myanmar",Naypyidaw,"Naypyidaw, Myanmar",Naypyidaw,Naypyidaw
Dushanbe,Tajikistan,"Dushanbe, Tajikistan",Dushanbe,"Dushanbe, Tayikistán",Dushanbe,Dushanbe
Okayama,Japan,"Okayama, Japan",Okayama,"Okayama, Japón",Okayama,Okayama
Medina,Saudi Arabia,"Medina, Saudi Arabia",Medina,"Medina, Arabia Saudita",Medina,Medina
Montpellier,France,"Montpellier, France",Montpellier,"Montpellier, Francia",Montpellier,Montpellier
Leeuwarden,Netherlands,"Leeuwarden, Netherlands",Leeuwarden,"Leeuwarden, Holanda",Leeuwarden,Leeuwarden
"Monterey, CA",United States,"Monterey, CA, United States","Monterey, CA","Monterey, CA, Estados Unidos",Monterey,Monterey
Tashkent,Uzbekistan,"Tashkent, Uzbekistan",Tashkent,"Tashkent, Uzbekistán",Tashkent,Tashkent
"Victorville, CA",United States,"Victorville, CA, United States","Victorville, CA","Victorville, CA, Estados Unidos",Victorville,Victorville
"Mountain View, CA",United States,"Mountain View, CA, United States","Mountain View, CA","Mountain View, CA, Estados Unidos",Mountain View,Mountain View
"Lincoln, NE",United States,"Lincoln, NE, United States","Lincoln, NE","Lincoln, NE, Estados Unidos",Lincoln,Lincoln
"Indio, CA",United States,"Indio, CA, United States","Indio, CA","Indio, CA, Estados Unidos",Indio,Indio
Lucca,Italy,"Lucca, Italy",Lucca,"Lucca, Italia",Lucca,Lucca
Cambridge,United Kingdom,"Cambridge, United Kingdom",Cambridge,"Cambridge, Reino Unido",Cambridge,Cambridge
Erbil,Kurdistan,"Erbil, Kurdistan",Erbil,"Erbil, Kurdistán",Erbil,Erbil
Haifa,Israel,"Haifa, Israel",Haifa,"Haifa, Israel",Haifa,Haifa
Windsor,Canada,"Windsor, Canada",Windsor,"Windsor, Canadá",Windsor,Windsor
Ahmedabad,India,"Ahmedabad, India",Ahmedabad,"Ahmedabad, India",Ahmedabad,Ahmedabad
Bordeaux,France,"Bordeaux, France",Burdeos,"Burdeos, Francia",Bordeaux,Burdeos
Beersheba,Israel,"Beersheba, Israel",Beersheba,"Beersheba, Israel",Beersheba,Beersheba
Mashhad,Iran,"Mashhad, Iran",Mashhad,"Mashhad, Irán",Mashhad,Mashhad
Zurich,Switzerland,"Zurich, Switzerland",Zúrich,"Zurich, Suiza",Zurich,Zúrich
Breda,Netherlands,"Breda, Netherlands",Breda,"Breda, Holanda",Breda,Breda
Hamamatsu,Japan,"Hamamatsu, Japan",Hamamatsu,"Hamamatsu, Japón",Hamamatsu,Hamamatsu
"Knoxville, TN",United States,"Knoxville, TN, United States","Knoxville, TN","Knoxville, TN, Estados Unidos",Knoxville,Knoxville
"Okinawa City, Okinawa",Japan,"Okinawa City, Okinawa, Japan","Ciudad de Okinawa, Okinawa","Ciudad de Okinawa, Okinawa, Japón",Okinawa City,Okinawa City
